,DateKey,Datetime,Year,Month,Day,Hour
0,2022090100,2022-09-01 00:00:00,2022,09,01,00
1,2022090101,2022-09-01 01:00:00,2022,09,01,01
2,2022090102,2022-09-01 02:00:00,2022,09,01,02
3,2022090103,2022-09-01 03:00:00,2022,09,01,03
4,2022090104,2022-09-01 04:00:00,2022,09,01,04
5,2022090105,2022-09-01 05:00:00,2022,09,01,05
6,2022090106,2022-09-01 06:00:00,2022,09,01,06
7,2022090107,2022-09-01 07:00:00,2022,09,01,07
8,2022090108,2022-09-01 08:00:00,2022,09,01,08
9,2022090109,2022-09-01 09:00:00,2022,09,01,09
10,2022090110,2022-09-01 10:00:00,2022,09,01,10
11,2022090111,2022-09-01 11:00:00,2022,09,01,11
12,2022090112,2022-09-01 12:00:00,2022,09,01,12
13,2022090113,2022-09-01 13:00:00,2022,09,01,13
14,2022090114,2022-09-01 14:00:00,2022,09,01,14
15,2022090115,2022-09-01 15:00:00,2022,09,01,15
16,2022090116,2022-09-01 16:00:00,2022,09,01,16
17,2022090117,2022-09-01 17:00:00,2022,09,01,17
18,2022090118,2022-09-01 18:00:00,2022,09,01,18
19,2022090119,2022-09-01 19:00:00,2022,09,01,19
20,2022090120,2022-09-01 20:00:00,2022,09,01,20
21,2022090121,2022-09-01 21:00:00,2022,09,01,21
22,2022090122,2022-09-01 22:00:00,2022,09,01,22
23,2022090123,2022-09-01 23:00:00,2022,09,01,23
24,2022090200,2022-09-02 00:00:00,2022,09,02,00
25,2022090201,2022-09-02 01:00:00,2022,09,02,01
26,2022090202,2022-09-02 02:00:00,2022,09,02,02
27,2022090203,2022-09-02 03:00:00,2022,09,02,03
28,2022090204,2022-09-02 04:00:00,2022,09,02,04
29,2022090205,2022-09-02 05:00:00,2022,09,02,05
30,2022090206,2022-09-02 06:00:00,2022,09,02,06
31,2022090207,2022-09-02 07:00:00,2022,09,02,07
32,2022090208,2022-09-02 08:00:00,2022,09,02,08
33,2022090209,2022-09-02 09:00:00,2022,09,02,09
34,2022090210,2022-09-02 10:00:00,2022,09,02,10
35,2022090211,2022-09-02 11:00:00,2022,09,02,11
36,2022090212,2022-09-02 12:00:00,2022,09,02,12
37,2022090213,2022-09-02 13:00:00,2022,09,02,13
38,2022090214,2022-09-02 14:00:00,2022,09,02,14
39,2022090215,2022-09-02 15:00:00,2022,09,02,15
40,2022090216,2022-09-02 16:00:00,2022,09,02,16
41,2022090217,2022-09-02 17:00:00,2022,09,02,17
42,2022090218,2022-09-02 18:00:00,2022,09,02,18
43,2022090219,2022-09-02 19:00:00,2022,09,02,19
44,2022090220,2022-09-02 20:00:00,2022,09,02,20
45,2022090221,2022-09-02 21:00:00,2022,09,02,21
46,2022090222,2022-09-02 22:00:00,2022,09,02,22
47,2022090223,2022-09-02 23:00:00,2022,09,02,23
48,2022090300,2022-09-03 00:00:00,2022,09,03,00
49,2022090301,2022-09-03 01:00:00,2022,09,03,01
50,2022090302,2022-09-03 02:00:00,2022,09,03,02
51,2022090303,2022-09-03 03:00:00,2022,09,03,03
52,2022090304,2022-09-03 04:00:00,2022,09,03,04
53,2022090305,2022-09-03 05:00:00,2022,09,03,05
54,2022090306,2022-09-03 06:00:00,2022,09,03,06
55,2022090307,2022-09-03 07:00:00,2022,09,03,07
56,2022090308,2022-09-03 08:00:00,2022,09,03,08
57,2022090309,2022-09-03 09:00:00,2022,09,03,09
58,2022090310,2022-09-03 10:00:00,2022,09,03,10
59,2022090311,2022-09-03 11:00:00,2022,09,03,11
60,2022090312,2022-09-03 12:00:00,2022,09,03,12
61,2022090313,2022-09-03 13:00:00,2022,09,03,13
62,2022090314,2022-09-03 14:00:00,2022,09,03,14
63,2022090315,2022-09-03 15:00:00,2022,09,03,15
64,2022090316,2022-09-03 16:00:00,2022,09,03,16
65,2022090317,2022-09-03 17:00:00,2022,09,03,17
66,2022090318,2022-09-03 18:00:00,2022,09,03,18
67,2022090319,2022-09-03 19:00:00,2022,09,03,19
68,2022090320,2022-09-03 20:00:00,2022,09,03,20
69,2022090321,2022-09-03 21:00:00,2022,09,03,21
70,2022090322,2022-09-03 22:00:00,2022,09,03,22
